additional_requirements,admission_requirements,bac_type_id,bac_type_name,data_sources,duration,field_of_study,formula_explanation,historical_scores,minimum_bac_average,notes,program_description,ramz_code,ramz_id,ramz_link,seven_percent,specialty,specialty_code,table_criteria,table_institution,table_location,table_specialization,university_id,university_name
,,9,رياضة,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 131.15, '2020': 0.0, '2021': 176.41, '2022': 84.9293, '2023': 116.2662, '2024': 143.5245}",143.525,,الإجازة في الإنقليزية 3 سنوات (امد),10102,910102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
,,6,علوم الإعلامية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 126.137, '2020': 99.8781, '2021': 125.6635, '2022': 133.6591, '2023': 153.6574, '2024': 115.9397}",115.94,,الإجازة في الإنقليزية 3 سنوات (امد),10102,610102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610102,نعم,اللغة والآداب والحضارة,10102,FG+ANG,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الإنقليزية,01,جامعة تونس
,,6,علوم الإعلامية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 101.7238, '2020': 128.0362, '2021': 102.6451, '2022': 120.2948, '2023': 154.8504, '2024': 110.3652}",,,,10103,610103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,5,العلوم التقنية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 122.0747, '2020': 112.9259, '2021': 121.43, '2022': 89.8449, '2023': 106.5471, '2024': 102.9515}",,,,10103,510103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,3,علوم تجريبية,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 122.4047, '2020': 124.4517, '2021': 119.8, '2022': 119.412, '2023': 147.3283, '2024': 115.1036}",,,,10103,310103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,4,إقتصاد وتصرف,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 80.7551, '2020': 83.4217, '2021': 78.3949, '2022': 81.3517, '2023': 80.3931, '2024': 79.237}",,,,10103,410103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,9,رياضة,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 84.8741, '2023': 155.34, '2024': 108.5462}",,,,10103,910103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,2,رياضيات,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 122.97, '2020': 0.0, '2021': 107.2586, '2022': 121.2218, '2023': 156.6159, '2024': 0.0}",,,,10103,210103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,1,آداب,['finale-data'],,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 94.6917, '2012': 93.8, '2013': 89.1, '2014': 81.5877, '2015': 78.8667, '2016': 92.6164, '2017': 82.5541, '2018': 97.2273, '2019': 82.1868, '2020': 74.5981, '2021': 75.963, '2022': 71.6818, '2023': 71.7734, '2024': 76.2884}",,,,10103,110103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110103,نعم,اللغة والآداب والحضارة,10103,FG+F,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,الإجازة في الفرنسية,01,جامعة تونس
,,3,علوم تجريبية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 134.4134, '2020': 126.6131, '2021': 152.5713, '2022': 118.03, '2023': 128.4428, '2024': 129.9569}",118.03,,"3 سنوات (آمد), إسبانية إجبارية",10104,310104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,,5,العلوم التقنية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 96.7173, '2020': 118.2136, '2021': 120.84, '2022': 125.7678, '2023': 116.77, '2024': 0.0}",116.77,,"3 سنوات (آمد), إسبانية إجبارية",10104,510104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,,1,آداب,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 83.6667, '2012': 102.55, '2013': 94.9358, '2014': 75.5503, '2015': 83.6419, '2016': 105.3683, '2017': 94.0298, '2018': 81.7443, '2019': 88.9049, '2020': 80.2816, '2021': 82.6816, '2022': 81.6586, '2023': 78.3633, '2024': 89.8317}",78.3633,,"3 سنوات (آمد), إسبانية إجبارية",10104,110104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,,9,رياضة,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 185.57142857142856, '2012': 269.2857142857143, '2013': 353.0, '2014': 436.71428571428567, '2015': 520.4285714285713, '2016': 604.1428571428571, '2017': 687.8571428571428, '2018': 771.5714285714286, '2019': 855.2857142857142, '2020': 938.9999999999999, '2021': 1022.7142857142856, '2022': 1106.4285714285713, '2023': 1190.142857142857, '2024': 45.0}",,,"3 سنوات (آمد), إسبانية إجبارية",10104,910104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,,2,رياضيات,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 113.2667, '2020': 116.0665, '2021': 140.5873, '2022': 116.765, '2023': 102.2235, '2024': 127.5066}",102.2235,,"3 سنوات (آمد), إسبانية إجبارية",10104,210104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,,4,إقتصاد وتصرف,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 110.8984, '2020': 117.1079, '2021': 113.4414, '2022': 120.9028, '2023': 95.6259, '2024': 106.3848}",95.6259,,"3 سنوات (آمد), إسبانية إجبارية",10104,410104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,,6,علوم الإعلامية,['finale-data'],3 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 127.1321, '2022': 93.4782, '2023': 133.2311, '2024': 0.0}",93.4782,,"3 سنوات (آمد), إسبانية إجبارية",10104,610104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610104,نعم,اللغة والآداب والحضارة,10104,FG+ESP,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإسبانية,02,جامعة منوبة
,إيطالية إجبارية,6,علوم الإعلامية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 121.9051, '2020': 105.2625, '2021': 99.3495, '2022': 97.7552, '2023': 107.7, '2024': 124.853}",97.7552,,,10105,610105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,إيطالية إجبارية,5,العلوم التقنية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 128.5659, '2020': 127.437, '2021': 122.7237, '2022': 122.8521, '2023': 142.3796, '2024': 94.775}",94.775,,,10105,510105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,إيطالية إجبارية,1,آداب,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 98.8915, '2012': 107.5, '2013': 100.025, '2014': 85.4393, '2015': 104.2985, '2016': 105.814, '2017': 90.1284, '2018': 105.5464, '2019': 99.8899, '2020': 86.2384, '2021': 97.4315, '2022': 93.4468, '2023': 98.8912, '2024': 100.0434}",93.4468,,,10105,110105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,إيطالية إجبارية,9,رياضة,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 0.0, '2023': 0.0, '2024': 0.0}",,,,10105,910105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,إيطالية إجبارية,2,رياضيات,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 111.3441, '2020': 0.0, '2021': 138.2708, '2022': 141.925, '2023': 0.0, '2024': 0.0}",141.925,,,10105,210105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,إيطالية إجبارية,4,إقتصاد وتصرف,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 118.449, '2020': 103.453, '2021': 97.9933, '2022': 105.9514, '2023': 88.6479, '2024': 90.9769}",88.6479,,,10105,410105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,إيطالية إجبارية,3,علوم تجريبية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 130.6738, '2020': 111.3461, '2021': 134.57, '2022': 140.919, '2023': 112.065, '2024': 134.2957}",112.065,,,10105,310105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310105,نعم,اللغة والآداب والحضارة,10105,FG+IT,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الإيطالية,02,جامعة منوبة
,ألمانية إجبارية,2,رياضيات,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 133.8945, '2020': 0.0, '2021': 140.5124, '2022': 145.3221, '2023': 123.2462, '2024': 157.8999}",123.2462,,,10106,210106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210106,نعم,اللغة والآداب والحضارة,10106,FG+ALL,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الألمانية,02,جامعة منوبة
,ألمانية إجبارية,6,علوم الإعلامية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 100.6309, '2021': 117.0206, '2022': 0.0, '2023': 97.9639, '2024': 101.0563}",97.9639,,,10106,610106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=610106,نعم,اللغة والآداب والحضارة,10106,FG+ALL,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الألمانية,02,جامعة منوبة
,ألمانية إجبارية,1,آداب,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 90.225, '2012': 105.386, '2013': 85.1919, '2014': 73.1002, '2015': 88.8248, '2016': 99.7776, '2017': 80.315, '2018': 85.4181, '2019': 97.0382, '2020': 86.1261, '2021': 78.69, '2022': 78.1, '2023': 88.2051, '2024': 93.0132}",78.1,,,10106,110106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110106,نعم,اللغة والآداب والحضارة,10106,FG+ALL,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الألمانية,02,جامعة منوبة
,ألمانية إجبارية,4,إقتصاد وتصرف,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 90.5952, '2020': 94.3063, '2021': 93.971, '2022': 82.9268, '2023': 89.9689, '2024': 101.2454}",82.9268,,,10106,410106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=410106,نعم,اللغة والآداب والحضارة,10106,FG+ALL,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الألمانية,02,جامعة منوبة
,ألمانية إجبارية,5,العلوم التقنية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 125.6983, '2020': 112.441, '2021': 124.2377, '2022': 121.2, '2023': 108.7268, '2024': 106.8021}",106.802,,,10106,510106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510106,نعم,اللغة والآداب والحضارة,10106,FG+ALL,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الألمانية,02,جامعة منوبة
,ألمانية إجبارية,3,علوم تجريبية,['finale-data'],3 سنوات (آمد),الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 137.4576, '2020': 106.0762, '2021': 152.031, '2022': 138.3778, '2023': 139.5441, '2024': 129.882}",129.882,,,10106,310106,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310106,نعم,اللغة والآداب والحضارة,10106,FG+ALL,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,الإجازة في الألمانية,02,جامعة منوبة
